Sample,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,SD_READ_LENGTH,MEDIAN_READ_LENGTH,MAD_READ_LENGTH,MIN_READ_LENGTH,MAX_READ_LENGTH,MEAN_ALIGNED_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,PF_READS_IMPROPER_PAIRS,PCT_PF_READS_IMPROPER_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,PCT_SOFTCLIP,PCT_HARDCLIP,AVG_POS_3PRIME_SOFTCLIP_LENGTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO035,SECOND_OF_PAIR,99692364,98719261,0.990239,0,98716814,0.999975,14413347765,94854187,13856295918,13719872533,31,0.224222,0.224203,0.00033,146.388346,9.424699,150,0,80,150,146.035885,98716681,0.999999,350210,0.003548,0,0.501522,0.005014,0,0.002384,0,43.903444,,,
CAP41WGS_MO035,FIRST_OF_PAIR,99692364,98719261,0.990239,0,98718713,0.999994,14446300684,94864646,13888246825,13793294985,31,0.221432,0.221435,0.00033,146.441459,9.417676,150,0,80,150,146.370053,98716681,0.999979,352109,0.003567,0,0.498462,0.003322,0,0.000482,0,24.839398,,,
CAP41WGS_MO036,PAIR,197637768,195614278,0.989762,0,195610416,0.99998,28602430730,188707059,27604695575,27356379279,31,0.223044,0.223004,0.000338,146.465079,9.3843,150,0,80,150,146.251478,195607928,0.999987,771270,0.003943,0,0.500003,0.004533,0,0.001439,0,36.744593,,,
CAP41WGS_MO036,SECOND_OF_PAIR,98818884,97807139,0.989762,0,97804139,0.999969,14285077604,94347692,13786517241,13638543989,32,0.224326,0.224278,0.000338,146.434055,9.392018,150,0,80,150,146.086251,97803964,0.999998,384566,0.003932,0,0.501824,0.005322,0,0.002346,0,43.264725,,,
CAP41WGS_MO036,FIRST_OF_PAIR,98818884,97807139,0.989762,0,97806277,0.999991,14317353126,94359367,13818178334,13717835290,31,0.221764,0.221733,0.000338,146.496103,9.376474,150,0,80,150,146.416704,97803964,0.999976,386704,0.003954,0,0.498182,0.003744,0,0.000533,0,26.602222,,,
CAP41WGS_MO037,FIRST_OF_PAIR,98515646,98129820,0.996084,0,98129409,0.999996,14383948016,94472755,13853123867,13758611418,31,0.222385,0.222343,0.000317,146.653758,9.015176,150,0,80,150,146.61261,98127885,0.999984,116225,0.001184,0,0.498302,0.001031,0,0.000276,0,23.398929,,,
CAP41WGS_MO037,SECOND_OF_PAIR,98515646,98129820,0.996084,0,98127991,0.999981,14365180823,94464923,13834562967,13697928571,32,0.224534,0.224472,0.000316,146.586561,9.042271,150,0,80,150,146.42094,98127885,0.999999,114807,0.00117,0,0.501683,0.001601,0,0.001112,0,37.2294,,,
CAP41WGS_MO037,PAIR,197031292,196259640,0.996084,0,196257400,0.999989,28749128839,188937678,27687686834,27456539989,32,0.223459,0.223406,0.000316,146.620159,9.028796,150,0,80,150,146.516775,196255770,0.999992,231032,0.001177,0,0.499992,0.001316,0,0.000694,0,32.306049,,,
CAP41WGS_MO038,SECOND_OF_PAIR,99013134,98515449,0.994974,0,98512854,0.999974,14455955805,94903308,13931009815,13790653584,31,0.221499,0.22153,0.000315,146.969453,8.250368,150,0,80,150,146.7691,98512713,0.999999,167496,0.0017,0,0.501294,0.002368,0,0.001338,0,38.984507,,,
CAP41WGS_MO038,PAIR,198026268,197030898,0.994974,0,197027597,0.999983,28932070243,189814420,27881771694,27644633476,31,0.22029,0.220329,0.000315,146.999745,8.236315,150,0,80,150,146.871637,197025426,0.999989,336881,0.00171,0,0.499999,0.002003,0,0.000856,0,33.73733,,,
CAP41WGS_MO038,FIRST_OF_PAIR,99013134,98515449,0.994974,0,98514743,0.999993,14476114438,94911112,13950761879,13853979892,31,0.219083,0.21913,0.000316,147.030037,8.222126,150,0,80,150,146.974174,98512713,0.999979,169385,0.001719,0,0.498703,0.001638,0,0.000373,0,25.822607,,,
CAP41WGS_MO039,PAIR,198582822,197694142,0.995525,0,197690719,0.999983,28939976519,190603853,27912955613,27665608242,31,0.222115,0.222122,0.00033,146.531038,9.043286,150,0,80,150,146.419771,197688650,0.99999,306695,0.001551,0,0.499995,0.00171,0,0.000743,0,33.055059,,,
CAP41WGS_MO039,SECOND_OF_PAIR,99291411,98847071,0.995525,0,98844459,0.999974,14459762057,95297679,13946358313,13797208944,31,0.223234,0.223233,0.000329,146.494111,9.057782,150,0,80,150,146.316056,98844325,0.999999,152447,0.001542,0,0.501545,0.002023,0,0.00119,0,37.8501,,,
CAP41WGS_MO039,FIRST_OF_PAIR,99291411,98847071,0.995525,0,98846260,0.999992,14480214462,95306174,13966597300,13868399298,31,0.220998,0.221012,0.000331,146.567964,9.028616,150,0,80,150,146.523485,98844325,0.99998,154248,0.00156,0,0.498445,0.001397,0,0.000295,0,24.2735,,,
CAP41WGS_MO040,SECOND_OF_PAIR,98856415,98322893,0.994603,0,98320439,0.999975,14422859103,94808673,13912798970,13759099969,31,0.222756,0.222682,0.000338,146.919306,8.606413,150,0,80,150,146.721144,98320302,0.999999,207439,0.00211,0,0.501787,0.002629,0,0.001325,0,38.913675,,,
CAP41WGS_MO040,FIRST_OF_PAIR,98856415,98322893,0.994603,0,98322232,0.999993,14444436662,94817128,13934093488,13832439115,31,0.219997,0.219943,0.000338,146.98877,8.578585,150,0,80,150,146.941164,98320302,0.99998,209232,0.002128,0,0.498203,0.001898,0,0.000317,0,24.920951,,,
CAP41WGS_MO040,PAIR,197712830,196645786,0.994603,0,196642671,0.999984,28867295765,189625801,27846892458,27591539084,31,0.221375,0.221312,0.000338,146.954038,8.59258,150,0,80,150,146.831154,196640604,0.999989,416671,0.002119,0,0.499995,0.002263,0,0.000821,0,34.160415,,,
CAP41WGS_PC,FIRST_OF_PAIR,83742658,83560448,0.997824,0,83559809,0.999992,10931812625,79709287,10450750110,10384221333,27,0.218141,0.21818,0.000286,130.920454,21.075873,139,11,80,150,130.851485,83558200,0.999981,29974,0.000359,0,0.49808,0.000403,0,0.000519,0,27.47782,,,
CAP41WGS_PC,SECOND_OF_PAIR,83742658,83560448,0.997824,0,83558326,0.999975,10934395885,79705021,10452964298,10354200953,28,0.219781,0.219824,0.000288,131.010279,20.985322,139,11,80,150,130.882527,83558200,0.999998,28491,0.000341,0,0.501908,0.000523,0,0.000948,0,31.620904,,,
CAP41WGS_PC,PAIR,167485316,167120896,0.997824,0,167118135,0.999983,21866208510,159414308,20903714408,20738422286,27,0.218961,0.219002,0.000287,130.965366,21.030694,139,11,80,150,130.867006,167116400,0.99999,58465,0.00035,0,0.499994,0.000463,0,0.000734,0,29.794226,,,
