Sample,ACCUMULATION_LEVEL,READS_USED,GC,WINDOWS,READ_STARTS,MEAN_BASE_QUALITY,NORMALIZED_COVERAGE,ERROR_BAR_WIDTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,All Reads,ALL,33,101272012,2240167,8,0.32665,0.000218,,,
CAP41WGS_MO026,All Reads,ALL,34,106580575,2670064,8,0.369943,0.000226,,,
CAP41WGS_MO026,All Reads,ALL,35,110997872,3145487,8,0.41847,0.000236,,,
CAP41WGS_MO026,All Reads,ALL,36,114484260,3633808,8,0.468714,0.000246,,,
CAP41WGS_MO026,All Reads,ALL,37,116323554,4121693,8,0.523238,0.000258,,,
CAP41WGS_MO026,All Reads,ALL,38,116105623,4584242,8,0.58305,0.000272,,,
CAP41WGS_MO026,All Reads,ALL,39,114081347,5009097,7,0.64839,0.00029,,,
CAP41WGS_MO026,All Reads,ALL,40,110526771,5375491,7,0.718195,0.00031,,,
CAP41WGS_MO026,All Reads,ALL,41,105557564,5670647,7,0.793295,0.000333,,,
CAP41WGS_MO026,All Reads,ALL,42,99687188,5943781,7,0.880471,0.000361,,,
CAP41WGS_MO026,All Reads,ALL,43,93641152,6159196,7,0.97129,0.000391,,,
CAP41WGS_MO026,All Reads,ALL,44,88231115,6352140,7,1.063138,0.000422,,,
CAP41WGS_MO026,All Reads,ALL,45,83867340,6498495,7,1.144225,0.000449,,,
CAP41WGS_MO026,All Reads,ALL,46,80500873,6621878,7,1.214708,0.000472,,,
CAP41WGS_MO026,All Reads,ALL,47,77805265,6684373,7,1.268654,0.000491,,,
CAP41WGS_MO026,All Reads,ALL,26,46511797,370860,9,0.117744,0.000193,,,
CAP41WGS_MO026,All Reads,ALL,25,38195011,264420,9,0.10223,0.000199,,,
CAP41WGS_MO026,All Reads,ALL,24,30464428,184724,9,0.089541,0.000208,,,
CAP41WGS_MO026,All Reads,ALL,23,23610800,125361,9,0.078405,0.000221,,,
CAP41WGS_MO026,All Reads,ALL,100,339,2,2,0.087121,0.061604,,,
